Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
2,0,0,2,2020-03-02
2,0,0,2,2020-03-03
5,0,0,5,2020-03-04
8,0,0,8,2020-03-05
13,0,0,13,2020-03-06
20,0,0,20,2020-03-07
30,0,0,30,2020-03-08
30,0,0,30,2020-03-09
41,0,0,41,2020-03-10
59,0,0,59,2020-03-11
59,0,0,59,2020-03-12
112,0,1,111,2020-03-13
169,0,2,167,2020-03-14
245,0,2,243,2020-03-15
331,0,3,328,2020-03-16
448,1,3,444,2020-03-17
448,2,3,443,2020-03-18
785,3,3,779,2020-03-19
1020,6,5,1009,2020-03-20
1280,12,5,1263,2020-03-21
1600,14,5,1581,2020-03-22
2060,23,5,2032,2020-03-23
2362,33,22,2307,2020-03-24
2995,43,22,2930,2020-03-25
3544,60,43,3441,2020-03-26
4268,76,43,4149,2020-03-27
5170,100,43,5027,2020-03-28
5962,119,43,5800,2020-03-29
6408,140,43,6225,2020-03-30
7443,160,43,7240,2020-03-31
8251,187,43,8021,2020-04-01
9034,209,68,8757,2020-04-02
9886,246,68,9572,2020-04-03
10524,266,75,10183,2020-04-04
11278,295,75,10908,2020-04-05
11730,311,140,11279,2020-04-06
12442,345,184,11913,2020-04-07
13141,380,196,12565,2020-04-08
13956,409,205,13342,2020-04-09
15472,435,233,14804,2020-04-10
15987,470,266,15251,2020-04-11
16585,504,277,15804,2020-04-12
16934,535,277,16122,2020-04-13
17448,567,347,16534,2020-04-14
18091,599,383,17109,2020-04-15
18841,629,493,17719,2020-04-16
19022,657,519,17846,2020-04-17
19685,687,610,18388,2020-04-18
20206,714,610,18882,2020-04-19
20863,735,610,19518,2020-04-20
21379,762,917,19700,2020-04-21
21982,785,1143,20054,2020-04-22
22353,820,1201,20332,2020-04-23
22797,854,1228,20715,2020-04-24
23392,880,1277,21235,2020-04-25
23864,903,1329,21632,2020-04-26
24027,928,1357,21742,2020-04-27
24322,948,1389,21985,2020-04-28
24505,973,1470,22062,2020-04-29
25045,989,1519,22537,2020-04-30
25351,1007,1647,22697,2020-05-01
25190,1023,1671,22496,2020-05-02
25282,1043,1689,22550,2020-05-03
25524,1063,1712,22749,2020-05-04
25702,1074,1743,22885,2020-05-05
26182,1089,2076,23017,2020-05-06
26715,1105,2258,23352,2020-05-07
27268,1114,2422,23732,2020-05-08
27406,1126,2499,23781,2020-05-09
27581,1135,2549,23897,2020-05-10
27679,1144,2549,23986,2020-05-11
27913,1163,3013,23737,2020-05-12
28132,1175,3182,23775,2020-05-13
28319,1184,3198,23937,2020-05-14
28583,1190,3328,24065,2020-05-15
28810,1203,3822,23785,2020-05-16
29036,1218,4636,23182,2020-05-17
29209,1231,6430,21548,2020-05-18
29432,1247,6431,21754,2020-05-19
29660,1263,6452,21945,2020-05-20
29912,1277,6452,22183,2020-05-21
30200,1289,7590,21321,2020-05-22
30471,1302,7705,21464,2020-05-23
30623,1316,17549,11758,2020-05-24
30788,1330,17822,11636,2020-05-25
31007,1342,18096,11569,2020-05-26
31292,1356,18349,11587,2020-05-27
31596,1369,18637,11590,2020-05-28
