Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
1,0,0,1,2020-02-26
1,0,0,1,2020-02-27
3,0,0,3,2020-02-28
3,0,0,3,2020-02-29
3,0,0,3,2020-03-01
3,0,0,3,2020-03-02
3,0,0,3,2020-03-03
4,0,1,3,2020-03-04
6,0,1,5,2020-03-05
9,0,1,8,2020-03-06
9,0,3,6,2020-03-07
15,0,3,12,2020-03-08
15,0,3,12,2020-03-09
25,0,3,22,2020-03-10
45,0,6,39,2020-03-11
49,0,6,43,2020-03-12
89,0,7,82,2020-03-13
123,0,9,114,2020-03-14
131,0,9,122,2020-03-15
158,0,9,149,2020-03-16
184,0,16,168,2020-03-17
260,0,19,241,2020-03-18
277,0,25,252,2020-03-19
308,0,25,283,2020-03-20
367,0,52,315,2020-03-21
433,3,64,366,2020-03-22
576,7,64,505,2020-03-23
794,11,79,704,2020-03-24
906,17,86,803,2020-03-25
1029,23,94,912,2020-03-26
1292,26,115,1151,2020-03-27
1452,37,139,1276,2020-03-28
1815,43,206,1566,2020-03-29
2109,65,209,1835,2020-03-30
2245,82,220,1943,2020-03-31
2460,92,252,2116,2020-04-01
2738,115,267,2356,2020-04-02
3183,133,283,2767,2020-04-03
3613,146,329,3138,2020-04-04
3864,151,374,3339,2020-04-05
4057,176,406,3475,2020-04-06
4417,197,460,3760,2020-04-07
4761,220,528,4013,2020-04-08
5202,248,647,4307,2020-04-09
5467,270,729,4468,2020-04-10
5990,291,758,4941,2020-04-11
6300,316,852,5132,2020-04-12
6633,331,914,5388,2020-04-13
6879,351,1051,5477,2020-04-14
7216,372,1217,5627,2020-04-15
7707,392,1357,5958,2020-04-16
8067,411,1508,6148,2020-04-17
8418,421,1730,6267,2020-04-18
8746,451,1892,6403,2020-04-19
8936,478,2017,6441,2020-04-20
9242,498,2153,6591,2020-04-21
9710,524,2406,6780,2020-04-22
10096,545,2478,7073,2020-04-23
10417,567,2817,7033,2020-04-24
10635,601,2890,7144,2020-04-25
11036,619,3054,7363,2020-04-26
11339,641,3141,7557,2020-04-27
11616,663,3404,7549,2020-04-28
11978,693,3569,7716,2020-04-29
12240,717,4017,7506,2020-04-30
12567,744,4328,7495,2020-05-01
12732,771,4547,7414,2020-05-02
13163,790,4869,7504,2020-05-03
13512,818,5269,7425,2020-05-04
13837,841,5454,7542,2020-05-05
14107,864,5788,7455,2020-05-06
14499,888,6144,7467,2020-05-07
14811,923,6423,7465,2020-05-08
15131,939,6912,7280,2020-05-09
15362,961,7051,7350,2020-05-10
15588,982,7245,7361,2020-05-11
15778,1002,7685,7091,2020-05-12
16002,1036,7961,7005,2020-05-13
16247,1053,9053,6141,2020-05-14
16437,1070,9370,5997,2020-05-15
16704,1094,9574,6036,2020-05-16
16871,1107,9890,5874,2020-05-17
17036,1120,9930,5986,2020-05-18
17191,1137,10166,5888,2020-05-19
17387,1147,10356,5884,2020-05-20
17585,1156,10581,5848,2020-05-21
17712,1166,10777,5769,2020-05-22
17857,1176,11187,5494,2020-05-23
18070,1185,11399,5486,2020-05-24
18283,1205,11630,5448,2020-05-25
18429,1216,11874,5339,2020-05-26
18594,1227,12162,5205,2020-05-27
18791,1235,12629,4927,2020-05-28
18982,1248,12829,4905,2020-05-29
