Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
0,0,0,0,2020-03-16
0,0,0,0,2020-03-17
0,0,0,0,2020-03-18
0,0,0,0,2020-03-19
0,0,0,0,2020-03-20
0,0,0,0,2020-03-21
0,0,0,0,2020-03-22
0,0,0,0,2020-03-23
0,0,0,0,2020-03-24
0,0,0,0,2020-03-25
0,0,0,0,2020-03-26
0,0,0,0,2020-03-27
0,0,0,0,2020-03-28
0,0,0,0,2020-03-29
0,0,0,0,2020-03-30
0,0,0,0,2020-03-31
0,0,0,0,2020-04-01
0,0,0,0,2020-04-02
0,0,0,0,2020-04-03
0,0,0,0,2020-04-04
0,0,0,0,2020-04-05
4,0,0,4,2020-04-06
4,0,0,4,2020-04-07
4,0,0,4,2020-04-08
4,0,0,4,2020-04-09
4,0,0,4,2020-04-10
4,0,0,4,2020-04-11
4,0,0,4,2020-04-12
4,0,0,4,2020-04-13
4,0,0,4,2020-04-14
4,0,0,4,2020-04-15
4,0,0,4,2020-04-16
4,0,0,4,2020-04-17
4,0,0,4,2020-04-18
4,0,0,4,2020-04-19
4,0,0,4,2020-04-20
4,0,0,4,2020-04-21
4,0,0,4,2020-04-22
4,0,0,4,2020-04-23
4,0,0,4,2020-04-24
4,0,0,4,2020-04-25
4,0,0,4,2020-04-26
4,0,0,4,2020-04-27
8,0,4,4,2020-04-28
8,0,4,4,2020-04-29
14,0,4,10,2020-04-30
16,1,4,11,2020-05-01
16,1,4,11,2020-05-02
16,1,4,11,2020-05-03
23,3,4,16,2020-05-04
174,3,4,167,2020-05-05
174,3,4,167,2020-05-06
187,4,4,179,2020-05-07
208,5,4,199,2020-05-08
208,5,4,199,2020-05-09
208,5,4,199,2020-05-10
208,5,4,199,2020-05-11
208,5,4,199,2020-05-12
220,6,4,210,2020-05-13
235,7,4,224,2020-05-14
235,7,4,224,2020-05-15
235,7,4,224,2020-05-16
235,7,4,224,2020-05-17
246,7,4,235,2020-05-18
251,8,4,239,2020-05-19
251,8,4,239,2020-05-20
251,8,4,239,2020-05-21
251,8,4,239,2020-05-22
251,8,4,239,2020-05-23
251,8,4,239,2020-05-24
299,11,4,284,2020-05-25
441,12,68,361,2020-05-26
443,12,68,363,2020-05-27
458,12,68,378,2020-05-28
463,12,68,383,2020-05-29
479,12,68,399,2020-05-30
483,12,68,403,2020-05-31
484,12,68,404,2020-06-01
484,12,68,404,2020-06-02
484,12,68,404,2020-06-03
485,12,68,405,2020-06-04
499,12,68,419,2020-06-05
499,12,68,419,2020-06-06
513,12,68,433,2020-06-07
513,12,68,433,2020-06-08
514,12,76,426,2020-06-09
611,12,135,464,2020-06-10
632,12,146,474,2020-06-11
