Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
1,0,0,1,2020-03-02
1,0,0,1,2020-03-03
1,0,0,1,2020-03-04
5,0,0,5,2020-03-05
5,0,0,5,2020-03-06
5,0,0,5,2020-03-07
11,0,0,11,2020-03-08
15,0,0,15,2020-03-09
20,0,1,19,2020-03-10
21,0,1,20,2020-03-11
45,0,1,44,2020-03-12
86,0,1,85,2020-03-13
103,0,1,102,2020-03-14
103,0,1,102,2020-03-15
118,0,2,116,2020-03-16
171,0,6,165,2020-03-17
171,0,6,165,2020-03-18
274,0,6,268,2020-03-19
344,0,8,336,2020-03-20
392,0,16,376,2020-03-21
511,0,16,495,2020-03-22
562,0,16,546,2020-03-23
767,1,28,738,2020-03-24
900,2,29,869,2020-03-25
1012,3,33,976,2020-03-26
1104,3,35,1066,2020-03-27
1203,4,37,1162,2020-03-28
1299,8,66,1225,2020-03-29
1453,8,115,1330,2020-03-30
1563,10,165,1388,2020-03-31
1720,16,264,1440,2020-04-01
1885,21,328,1536,2020-04-02
2039,25,351,1663,2020-04-03
2179,29,420,1730,2020-04-04
2402,34,488,1880,2020-04-05
2605,38,551,2016,2020-04-06
2795,41,615,2139,2020-04-07
2932,41,631,2260,2020-04-08
3287,44,666,2577,2020-04-09
3651,47,685,2919,2020-04-10
4033,52,720,3261,2020-04-11
4462,59,761,3642,2020-04-12
4934,65,805,4064,2020-04-13
5369,73,889,4407,2020-04-14
5862,79,931,4852,2020-04-15
6380,83,990,5307,2020-04-16
7142,87,1049,6006,2020-04-17
8274,92,1329,6853,2020-04-18
9362,97,1398,7867,2020-04-19
10484,103,1490,8891,2020-04-20
11631,109,1640,9882,2020-04-21
12772,114,1812,10846,2020-04-22
13930,121,1925,11884,2020-04-23
15102,127,2049,12926,2020-04-24
16299,136,2215,13948,2020-04-25
17522,139,2357,15026,2020-04-26
18811,144,2531,16136,2020-04-27
20077,152,2784,17141,2020-04-28
21402,157,2953,18292,2020-04-29
22753,162,3163,19428,2020-04-30
24097,169,3555,20373,2020-05-01
25459,176,3765,21518,2020-05-02
27011,184,4134,22693,2020-05-03
28656,191,4476,23989,2020-05-04
30251,200,5431,24620,2020-05-05
31938,209,6783,24946,2020-05-06
33731,219,7798,25714,2020-05-07
35432,229,9120,26083,2020-05-08
37136,239,10144,26753,2020-05-09
39048,246,11457,27345,2020-05-10
41014,255,12737,28022,2020-05-11
42925,264,15257,27404,2020-05-12
44830,273,17622,26935,2020-05-13
46869,283,19051,27535,2020-05-14
49176,292,21869,27015,2020-05-15
52016,302,23666,28048,2020-05-16
54752,312,25722,28718,2020-05-17
57345,320,28748,28277,2020-05-18
59854,329,31634,27891,2020-05-19
62545,339,33478,28728,2020-05-20
65077,351,36040,28686,2020-05-21
67719,364,39003,28352,2020-05-22
70161,379,41236,28546,2020-05-23
72560,390,43520,28650,2020-05-24
74795,399,45668,28728,2020-05-25
76726,411,48450,27865,2020-05-26
78541,425,51022,27094,2020-05-27
80185,441,54553,25191,2020-05-28
81766,458,57013,24295,2020-05-29
83384,480,58883,24021,2020-05-30
