Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
1,0,0,1,2020-03-06
1,0,0,1,2020-03-07
1,0,0,1,2020-03-08
1,0,0,1,2020-03-09
5,0,0,5,2020-03-10
12,0,0,12,2020-03-11
19,0,0,19,2020-03-12
35,0,0,35,2020-03-13
46,0,0,46,2020-03-14
48,0,0,48,2020-03-15
55,0,1,54,2020-03-16
65,0,1,64,2020-03-17
83,0,1,82,2020-03-18
103,0,1,102,2020-03-19
135,1,1,133,2020-03-20
171,1,1,169,2020-03-21
222,2,1,219,2020-03-22
249,3,1,245,2020-03-23
303,3,15,285,2020-03-24
384,4,15,365,2020-03-25
384,1,0,383,2020-03-26
457,1,0,456,2020-03-27
659,10,0,649,2020-03-28
741,13,0,728,2020-03-29
785,16,0,769,2020-03-30
900,16,0,884,2020-03-31
1060,28,0,1032,2020-04-01
1171,31,0,1140,2020-04-02
1476,39,0,1437,2020-04-03
1624,44,0,1580,2020-04-04
1908,51,0,1857,2020-04-05
2200,58,0,2142,2020-04-06
2447,61,0,2386,2020-04-07
2666,65,0,2601,2020-04-08
2867,66,0,2801,2020-04-09
3105,71,0,3034,2020-04-10
3380,74,0,3306,2020-04-11
3630,80,0,3550,2020-04-12
4054,85,0,3969,2020-04-13
4465,94,0,4371,2020-04-14
4873,99,0,4774,2020-04-15
5318,103,0,5215,2020-04-16
5690,110,534,5046,2020-04-17
5994,117,637,5240,2020-04-18
6318,122,753,5443,2020-04-19
6630,125,870,5635,2020-04-20
6890,130,977,5783,2020-04-21
7144,134,1025,5985,2020-04-22
7276,139,1067,6070,2020-04-23
7483,144,1094,6245,2020-04-24
7779,151,1152,6476,2020-04-25
8042,156,1182,6704,2020-04-26
8275,162,1209,6904,2020-04-27
8497,168,1260,7069,2020-04-28
8724,173,1292,7259,2020-04-29
9009,179,1343,7487,2020-04-30
9009,179,1343,7487,2020-05-01
9362,189,1426,7747,2020-05-02
9464,193,1551,7720,2020-05-03
9557,197,1574,7786,2020-05-04
9677,200,1723,7754,2020-05-05
9791,203,1971,7617,2020-05-06
9848,206,2160,7482,2020-05-07
9943,209,2453,7281,2020-05-08
10032,215,2732,7085,2020-05-09
10032,215,2732,7085,2020-05-10
10176,218,3290,6668,2020-05-11
10243,220,3600,6423,2020-05-12
10295,222,3824,6249,2020-05-13
10374,224,4084,6066,2020-05-14
10438,225,4301,5912,2020-05-15
10496,228,4479,5789,2020-05-16
10610,230,4713,5667,2020-05-17
10699,231,4799,5669,2020-05-18
10733,234,4904,5595,2020-05-19
10833,235,5067,5531,2020-05-20
10919,237,5370,5312,2020-05-21
11024,237,5541,5246,2020-05-22
11092,238,5699,5155,2020-05-23
11159,238,5857,5064,2020-05-24
11193,239,5920,5034,2020-05-25
11227,239,6067,4921,2020-05-26
11275,240,6277,4758,2020-05-27
11300,241,6438,4621,2020-05-28
11354,242,6524,4588,2020-05-29
11381,242,6606,4533,2020-05-30
11412,243,6698,4471,2020-05-31
