Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
2,0,0,2,2020-03-05
7,0,0,7,2020-03-06
7,0,0,7,2020-03-07
16,0,0,16,2020-03-08
16,0,0,16,2020-03-09
31,0,0,31,2020-03-10
57,0,0,57,2020-03-11
89,0,0,89,2020-03-12
141,0,0,141,2020-03-13
181,1,0,180,2020-03-14
219,1,0,218,2020-03-15
253,1,0,252,2020-03-16
275,1,0,274,2020-03-17
275,1,0,274,2020-03-18
286,1,0,285,2020-03-19
341,1,0,340,2020-03-20
383,1,0,382,2020-03-21
414,2,0,412,2020-03-22
442,3,0,439,2020-03-23
480,4,0,476,2020-03-24
528,5,10,513,2020-03-25
562,6,10,546,2020-03-26
632,9,10,613,2020-03-27
684,9,10,665,2020-03-28
730,11,10,709,2020-03-29
756,11,10,735,2020-03-30
802,15,10,777,2020-03-31
841,15,10,816,2020-04-01
897,17,70,810,2020-04-02
934,20,70,844,2020-04-03
977,22,79,876,2020-04-04
997,28,79,890,2020-04-05
1021,30,102,889,2020-04-06
1059,36,102,921,2020-04-07
1091,40,120,931,2020-04-08
1124,43,128,953,2020-04-09
1160,45,137,978,2020-04-10
1188,50,148,990,2020-04-11
1205,53,150,1002,2020-04-12
1212,55,152,1005,2020-04-13
1220,56,152,1012,2020-04-14
1248,61,165,1022,2020-04-15
1268,61,174,1033,2020-04-16
1304,66,174,1064,2020-04-17
1317,70,190,1057,2020-04-18
1330,74,192,1064,2020-04-19
1335,77,193,1065,2020-04-20
1344,77,197,1070,2020-04-21
1353,79,205,1069,2020-04-22
1366,79,211,1076,2020-04-23
1373,80,211,1082,2020-04-24
1388,81,219,1088,2020-04-25
1396,82,221,1093,2020-04-26
1402,83,221,1098,2020-04-27
1408,86,223,1099,2020-04-28
1418,89,230,1099,2020-04-29
1429,91,233,1105,2020-04-30
1434,92,233,1109,2020-05-01
1439,94,239,1106,2020-05-02
1439,96,241,1102,2020-05-03
1439,97,241,1101,2020-05-04
1445,98,244,1103,2020-05-05
1448,99,246,1103,2020-05-06
1449,99,247,1103,2020-05-07
1450,100,252,1098,2020-05-08
1454,101,255,1098,2020-05-09
1457,102,256,1099,2020-05-10
1460,102,256,1102,2020-05-11
1461,102,259,1100,2020-05-12
1463,103,260,1100,2020-05-13
1464,103,267,1094,2020-05-14
1465,103,270,1092,2020-05-15
1465,103,272,1090,2020-05-16
1466,104,273,1089,2020-05-17
1466,104,1335,27,2020-05-18
1467,104,1338,25,2020-05-19
1468,105,1340,23,2020-05-20
1468,106,1340,22,2020-05-21
1468,106,1340,22,2020-05-22
1468,106,1340,22,2020-05-23
1468,107,1340,21,2020-05-24
1469,107,1346,16,2020-05-25
1469,108,1346,15,2020-05-26
1471,108,1354,9,2020-05-27
1473,108,1356,9,2020-05-28
1473,108,1357,8,2020-05-29
1473,108,1357,8,2020-05-30
1473,108,1358,7,2020-05-31
1473,109,1358,6,2020-06-01
1475,109,1358,8,2020-06-02
1477,109,1358,10,2020-06-03
