Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
1,0,0,1,2020-02-01
1,0,0,1,2020-02-02
1,0,0,1,2020-02-03
1,0,0,1,2020-02-04
1,0,0,1,2020-02-05
1,0,0,1,2020-02-06
1,0,0,1,2020-02-07
1,0,0,1,2020-02-08
2,0,0,2,2020-02-09
2,0,0,2,2020-02-10
2,0,0,2,2020-02-11
2,0,0,2,2020-02-12
2,0,0,2,2020-02-13
2,0,0,2,2020-02-14
2,0,2,0,2020-02-15
2,0,2,0,2020-02-16
2,0,2,0,2020-02-17
2,0,2,0,2020-02-18
2,0,2,0,2020-02-19
2,0,2,0,2020-02-20
2,0,2,0,2020-02-21
2,0,2,0,2020-02-22
2,0,2,0,2020-02-23
2,0,2,0,2020-02-24
6,0,2,4,2020-02-25
13,0,2,11,2020-02-26
15,0,2,13,2020-02-27
32,0,2,30,2020-02-28
45,0,2,43,2020-02-29
84,0,2,82,2020-03-01
120,0,2,118,2020-03-02
165,1,2,162,2020-03-03
222,2,2,218,2020-03-04
259,3,2,254,2020-03-05
400,5,2,393,2020-03-06
500,10,30,460,2020-03-07
673,17,30,626,2020-03-08
1073,28,32,1013,2020-03-09
1695,35,32,1628,2020-03-10
2277,54,183,2040,2020-03-11
2277,55,183,2039,2020-03-12
5232,133,193,4906,2020-03-13
6391,195,517,5679,2020-03-14
7798,289,517,6992,2020-03-15
9942,342,530,9070,2020-03-16
11748,533,1028,10187,2020-03-17
13910,623,1081,12206,2020-03-18
17963,830,1107,16026,2020-03-19
20410,1043,1588,17779,2020-03-20
25374,1375,2125,21874,2020-03-21
28768,1772,2575,24421,2020-03-22
35136,2311,2575,30250,2020-03-23
39885,2808,3794,33283,2020-03-24
49515,3647,5367,40501,2020-03-25
57786,4365,7015,46406,2020-03-26
65719,5138,9357,51224,2020-03-27
73235,5982,12285,54968,2020-03-28
80110,6803,14709,58598,2020-03-29
87956,7716,16780,63460,2020-03-30
95923,8464,19259,68200,2020-03-31
104118,9387,22647,72084,2020-04-01
112065,10348,26743,74974,2020-04-02
119199,11198,30513,77488,2020-04-03
126168,11947,34219,80002,2020-04-04
131646,12641,38080,80925,2020-04-05
136675,13341,40437,82897,2020-04-06
141942,14045,43208,84689,2020-04-07
148220,14792,48021,85407,2020-04-08
153222,15447,52165,85610,2020-04-09
158273,16081,55668,86524,2020-04-10
163027,16606,59109,87312,2020-04-11
166831,17209,62391,87231,2020-04-12
170099,17756,64727,87616,2020-04-13
172541,18056,67504,86981,2020-04-14
177644,18708,70853,88083,2020-04-15
184948,19315,74797,90836,2020-04-16
190839,20002,74797,96040,2020-04-17
191726,20043,74797,96886,2020-04-18
198674,20453,77357,100864,2020-04-19
200210,20852,80587,98771,2020-04-20
204178,21282,82514,100382,2020-04-21
208389,21717,85915,100757,2020-04-22
213024,22157,89250,101617,2020-04-23
202990,22524,92355,88111,2020-04-24
205905,22902,95708,87295,2020-04-25
207634,23190,98372,86072,2020-04-26
209465,23521,100875,85069,2020-04-27
210773,23822,102548,84403,2020-04-28
212917,24275,108947,79695,2020-04-29
213435,24543,112050,76842,2020-04-30
215216,24543,112050,78623,2020-05-01
216582,25100,117248,74234,2020-05-02
217466,25264,118902,73300,2020-05-03
218011,25428,121343,71240,2020-05-04
219329,25613,123486,70230,2020-05-05
220325,25857,126002,68466,2020-05-06
221447,26070,128511,66866,2020-05-07
222857,26299,131148,65410,2020-05-08
223578,26478,133952,63148,2020-05-09
224350,26621,136166,61563,2020-05-10
227436,26744,137139,63553,2020-05-11
228030,26920,138980,62130,2020-05-12
228691,27104,140823,60764,2020-05-13
229540,27321,143374,58845,2020-05-14
230183,27459,144783,57941,2020-05-15
230698,27563,146446,56689,2020-05-16
230698,27563,146446,56689,2020-05-17
231606,27709,150376,53521,2020-05-18
232037,27778,150376,53883,2020-05-19
232555,27888,150376,54291,2020-05-20
233037,27940,150376,54721,2020-05-21
234824,28628,150376,55820,2020-05-22
235290,28678,150376,56236,2020-05-23
