Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
1,0,0,1,2020-03-14
1,0,0,1,2020-03-15
1,0,0,1,2020-03-16
1,0,0,1,2020-03-17
1,0,0,1,2020-03-18
1,0,0,1,2020-03-19
4,0,0,4,2020-03-20
4,0,0,4,2020-03-21
5,0,0,5,2020-03-22
5,0,0,5,2020-03-23
7,0,0,7,2020-03-24
8,0,0,8,2020-03-25
8,0,0,8,2020-03-26
8,0,0,8,2020-03-27
8,0,0,8,2020-03-28
8,0,0,8,2020-03-29
8,0,0,8,2020-03-30
9,0,0,9,2020-03-31
10,0,0,10,2020-04-01
10,0,0,10,2020-04-02
10,1,0,9,2020-04-03
10,1,0,9,2020-04-04
10,1,0,9,2020-04-05
10,1,0,9,2020-04-06
10,1,0,9,2020-04-07
10,1,3,6,2020-04-08
10,1,4,5,2020-04-09
10,1,4,5,2020-04-10
10,1,4,5,2020-04-11
10,1,4,5,2020-04-12
10,1,6,3,2020-04-13
10,1,6,3,2020-04-14
10,1,6,3,2020-04-15
10,1,6,3,2020-04-16
10,1,6,3,2020-04-17
10,1,6,3,2020-04-18
10,1,6,3,2020-04-19
10,1,6,3,2020-04-20
10,1,6,3,2020-04-21
10,1,6,3,2020-04-22
10,1,6,3,2020-04-23
10,1,7,2,2020-04-24
10,1,7,2,2020-04-25
10,1,7,2,2020-04-26
10,1,7,2,2020-04-27
10,1,7,2,2020-04-28
10,1,8,1,2020-04-29
10,1,8,1,2020-04-30
10,1,8,1,2020-05-01
10,1,8,1,2020-05-02
10,1,9,0,2020-05-03
10,1,9,0,2020-05-04
10,1,9,0,2020-05-05
10,1,9,0,2020-05-06
10,1,9,0,2020-05-07
10,1,9,0,2020-05-08
10,1,9,0,2020-05-09
10,1,9,0,2020-05-10
10,1,9,0,2020-05-11
10,1,9,0,2020-05-12
10,1,9,0,2020-05-13
10,1,9,0,2020-05-14
10,1,9,0,2020-05-15
10,1,9,0,2020-05-16
10,1,9,0,2020-05-17
11,1,9,1,2020-05-18
11,1,9,1,2020-05-19
11,1,9,1,2020-05-20
11,1,9,1,2020-05-21
11,1,9,1,2020-05-22
11,1,9,1,2020-05-23
11,1,9,1,2020-05-24
11,1,9,1,2020-05-25
11,1,9,1,2020-05-26
12,1,9,2,2020-05-27
12,1,9,2,2020-05-28
12,1,9,2,2020-05-29
14,1,9,4,2020-05-30
23,1,9,13,2020-05-31
44,1,9,34,2020-06-01
54,1,9,44,2020-06-02
74,1,9,64,2020-06-03
82,1,9,72,2020-06-04
90,1,9,80,2020-06-05
100,1,9,90,2020-06-06
122,1,9,112,2020-06-07
128,2,9,117,2020-06-08
137,2,9,126,2020-06-09
144,2,9,133,2020-06-10
168,2,9,157,2020-06-11
