Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
1,0,0,1,2020-02-01
1,0,0,1,2020-02-02
1,0,0,1,2020-02-03
1,0,0,1,2020-02-04
1,0,0,1,2020-02-05
1,0,0,1,2020-02-06
1,0,0,1,2020-02-07
1,0,0,1,2020-02-08
1,0,0,1,2020-02-09
1,0,0,1,2020-02-10
1,0,0,1,2020-02-11
1,0,0,1,2020-02-12
1,0,0,1,2020-02-13
1,0,0,1,2020-02-14
1,0,0,1,2020-02-15
1,0,0,1,2020-02-16
1,0,0,1,2020-02-17
1,0,0,1,2020-02-18
1,0,0,1,2020-02-19
1,0,0,1,2020-02-20
1,0,0,1,2020-02-21
1,0,0,1,2020-02-22
1,0,0,1,2020-02-23
1,0,0,1,2020-02-24
1,0,0,1,2020-02-25
2,0,0,2,2020-02-26
3,0,0,3,2020-02-27
11,0,0,11,2020-02-28
14,0,0,14,2020-02-29
14,0,0,14,2020-03-01
19,0,0,19,2020-03-02
32,0,0,32,2020-03-03
62,0,0,62,2020-03-04
87,0,0,87,2020-03-05
146,0,0,146,2020-03-06
179,0,0,179,2020-03-07
225,0,0,225,2020-03-08
326,0,0,326,2020-03-09
424,1,0,423,2020-03-10
620,1,0,619,2020-03-11
771,2,0,769,2020-03-12
923,3,0,920,2020-03-13
994,5,0,989,2020-03-14
1063,7,0,1056,2020-03-15
1146,8,0,1138,2020-03-16
1265,14,0,1251,2020-03-17
1410,21,0,1389,2020-03-18
1553,30,0,1523,2020-03-19
1733,38,0,1695,2020-03-20
1868,49,0,1819,2020-03-21
1986,60,0,1926,2020-03-22
2168,81,0,2087,2020-03-23
2398,103,0,2295,2020-03-24
2712,134,0,2578,2020-03-25
2998,166,0,2832,2020-03-26
3363,201,0,3162,2020-03-27
3663,239,0,3424,2020-03-28
3943,284,0,3659,2020-03-29
4359,332,0,4027,2020-03-30
4834,385,0,4449,2020-03-31
5320,455,0,4865,2020-04-01
5874,535,0,5339,2020-04-02
6475,605,0,5870,2020-04-03
6832,373,0,6142,2020-04-04
7172,401,0,6392,2020-04-05
7561,477,0,6697,2020-04-06
8299,591,0,7320,2020-04-07
8954,687,0,7889,2020-04-08
9599,793,0,8444,2020-04-09
10053,870,0,8795,2020-04-10
10448,887,0,9093,2020-04-11
10912,899,0,9472,2020-04-12
11349,919,0,9818,2020-04-13
11828,1033,0,10182,2020-04-14
12432,1203,0,10675,2020-04-15
13055,1333,0,11216,2020-04-16
13743,1400,0,11818,2020-04-17
14275,1511,0,12262,2020-04-18
14663,1540,0,12566,2020-04-19
15124,1580,0,12965,2020-04-20
15831,1765,0,13595,2020-04-21
16553,1937,0,14231,2020-04-22
17311,2021,0,14900,2020-04-23
18090,2152,0,15606,2020-04-24
18563,2192,0,16004,2020-04-25
18863,2194,0,16231,2020-04-26
19426,2274,0,16712,2020-04-27
20168,2355,0,17370,2020-04-28
20966,2462,0,18090,2020-04-29
21601,2586,0,18647,2020-04-30
22133,2653,0,19106,2020-05-01
22432,2669,0,19330,2020-05-02
22693,2679,0,19507,2020-05-03
23169,2769,0,19911,2020-05-04
23826,2854,0,20495,2020-05-05
24572,2941,0,21161,2020-05-06
25359,3040,0,21888,2020-05-07
26059,3175,0,22519,2020-05-08
26568,3220,0,22954,2020-05-09
26846,3225,0,23168,2020-05-10
27301,3256,0,23562,2020-05-11
28055,3313,0,24266,2020-05-12
28755,3460,0,24920,2020-05-13
29415,3529,0,25522,2020-05-14
30103,3646,0,26161,2020-05-15
30461,3674,0,26466,2020-05-16
30720,3679,0,26664,2020-05-17
31151,3698,0,27055,2020-05-18
31818,3743,0,27668,2020-05-19
32626,3831,0,28422,2020-05-20
33236,3871,0,28976,2020-05-21
33768,3925,0,29452,2020-05-22
34171,3992,0,29811,2020-05-23
34381,3998,0,29979,2020-05-24
34871,4029,0,30441,2020-05-25
35617,4125,0,31148,2020-05-26
36417,4220,0,31908,2020-05-27
37191,4266,0,32642,2020-05-28
37964,4350,0,33376,2020-05-29
