Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
2,0,0,2,2020-03-14
2,0,0,2,2020-03-15
4,0,0,4,2020-03-16
5,0,0,5,2020-03-17
7,0,0,7,2020-03-18
9,0,0,9,2020-03-19
9,0,0,9,2020-03-20
49,0,1,48,2020-03-21
50,0,1,49,2020-03-22
51,0,1,50,2020-03-23
57,0,0,57,2020-03-24
60,1,0,59,2020-03-25
65,1,0,64,2020-03-26
66,2,1,63,2020-03-27
74,3,1,70,2020-03-28
78,3,1,74,2020-03-29
82,3,1,78,2020-03-30
87,3,1,83,2020-03-31
90,5,1,84,2020-04-01
94,5,1,88,2020-04-02
98,6,1,91,2020-04-03
103,6,1,96,2020-04-04
104,7,1,96,2020-04-05
105,8,1,96,2020-04-06
107,8,1,98,2020-04-07
107,8,1,98,2020-04-08
109,8,1,100,2020-04-09
109,8,1,100,2020-04-10
112,8,12,92,2020-04-11
113,8,16,89,2020-04-12
113,8,16,89,2020-04-13
113,8,17,88,2020-04-14
114,8,19,87,2020-04-15
114,8,20,86,2020-04-16
114,8,20,86,2020-04-17
114,8,21,85,2020-04-18
114,8,21,85,2020-04-19
114,8,22,84,2020-04-20
115,8,28,79,2020-04-21
115,8,37,70,2020-04-22
115,8,48,59,2020-04-23
115,8,48,59,2020-04-24
115,8,53,54,2020-04-25
115,8,54,53,2020-04-26
116,8,59,49,2020-04-27
116,8,59,49,2020-04-28
116,8,71,37,2020-04-29
116,8,72,36,2020-04-30
116,8,83,25,2020-05-01
116,8,88,20,2020-05-02
116,8,93,15,2020-05-03
116,8,99,9,2020-05-04
116,8,103,5,2020-05-05
116,8,103,5,2020-05-06
116,8,103,5,2020-05-07
116,8,103,5,2020-05-08
116,8,104,4,2020-05-09
116,8,107,1,2020-05-10
116,8,107,1,2020-05-11
116,8,107,1,2020-05-12
116,8,107,1,2020-05-13
116,8,107,1,2020-05-14
116,8,107,1,2020-05-15
116,8,107,1,2020-05-16
116,8,107,1,2020-05-17
116,8,107,1,2020-05-18
116,8,107,1,2020-05-19
116,8,107,1,2020-05-20
116,8,108,0,2020-05-21
116,8,108,0,2020-05-22
116,8,108,0,2020-05-23
116,8,108,0,2020-05-24
116,8,108,0,2020-05-25
116,8,108,0,2020-05-26
116,8,108,0,2020-05-27
116,8,108,0,2020-05-28
116,8,108,0,2020-05-29
117,8,108,1,2020-05-30
117,8,108,1,2020-05-31
117,8,108,1,2020-06-01
117,8,108,1,2020-06-02
117,8,108,1,2020-06-03
117,8,108,1,2020-06-04
117,8,108,1,2020-06-05
117,8,108,1,2020-06-06
117,8,108,1,2020-06-07
117,8,109,0,2020-06-08
117,8,109,0,2020-06-09
117,8,109,0,2020-06-10
117,8,109,0,2020-06-11
