Confirmed,Deaths,Recovered,Active,Date
1,0,0,1,2020-01-22
1,0,0,1,2020-01-23
2,0,0,2,2020-01-24
2,0,0,2,2020-01-25
5,0,0,5,2020-01-26
5,0,0,5,2020-01-27
5,0,0,5,2020-01-28
6,0,0,6,2020-01-29
6,0,0,6,2020-01-30
8,0,0,8,2020-01-31
8,0,0,8,2020-02-01
8,0,0,8,2020-02-02
11,0,0,11,2020-02-03
11,0,0,11,2020-02-04
11,0,0,11,2020-02-05
12,0,0,12,2020-02-06
12,0,0,12,2020-02-07
12,0,0,12,2020-02-08
12,0,3,9,2020-02-09
12,0,3,9,2020-02-10
13,0,3,10,2020-02-11
13,0,3,10,2020-02-12
14,0,3,11,2020-02-13
14,0,3,11,2020-02-14
14,0,3,11,2020-02-15
14,0,3,11,2020-02-16
14,0,3,11,2020-02-17
14,0,3,11,2020-02-18
14,0,3,11,2020-02-19
14,0,3,11,2020-02-20
16,0,5,11,2020-02-21
16,0,5,11,2020-02-22
16,0,5,11,2020-02-23
16,0,5,11,2020-02-24
16,0,6,10,2020-02-25
16,0,6,10,2020-02-26
17,0,6,11,2020-02-27
17,0,7,10,2020-02-28
25,1,7,17,2020-02-29
32,1,7,24,2020-03-01
55,6,7,42,2020-03-02
74,7,7,60,2020-03-03
107,11,7,89,2020-03-04
184,12,7,165,2020-03-05
237,14,7,216,2020-03-06
403,17,7,379,2020-03-07
519,21,7,491,2020-03-08
594,22,7,565,2020-03-09
782,28,8,746,2020-03-10
1147,33,8,1106,2020-03-11
1586,43,12,1531,2020-03-12
2219,51,12,2156,2020-03-13
2978,58,12,2908,2020-03-14
3212,70,12,3130,2020-03-15
4679,97,17,4565,2020-03-16
6512,134,17,6362,2020-03-17
9169,194,105,8872,2020-03-18
13663,266,121,13278,2020-03-19
20030,372,147,19516,2020-03-20
26025,475,176,25383,2020-03-21
34898,588,178,34101,2020-03-22
46136,779,178,45145,2020-03-23
56755,1020,348,55346,2020-03-24
68837,1350,361,67082,2020-03-25
86693,1767,681,84190,2020-03-26
105383,2283,869,102161,2020-03-27
125013,2920,1072,120930,2020-03-28
143912,3528,2665,137624,2020-03-29
165987,4237,5644,156030,2020-03-30
192301,5334,7024,179875,2020-03-31
224544,6597,8474,209405,2020-04-01
256779,8101,9001,239600,2020-04-02
289066,9516,9707,269757,2020-04-03
321482,11074,14652,295677,2020-04-04
351359,12690,17448,321185,2020-04-05
382740,14455,19581,348706,2020-04-06
413507,17038,21763,374719,2020-04-07
444699,19181,23559,401978,2020-04-08
480640,21393,25410,433875,2020-04-09
515055,23583,28790,462685,2020-04-10
544185,25695,31270,487250,2020-04-11
571440,27535,32988,510993,2020-04-12
598370,29520,43482,525447,2020-04-13
627151,31976,47763,547495,2020-04-14
652591,34569,52096,565995,2020-04-15
682626,36715,54703,591263,2020-04-16
715656,38804,58545,618049,2020-04-17
743588,40786,64840,637737,2020-04-18
769684,42748,70337,656495,2020-04-19
799512,44972,72329,682103,2020-04-20
825429,47497,75204,702524,2020-04-21
854288,49951,77366,726706,2020-04-22
887858,52416,80203,754981,2020-04-23
920185,54586,99079,766217,2020-04-24
950580,56285,100372,793660,2020-04-25
977081,57648,106988,812274,2020-04-26
1000784,59132,111424,829992,2020-04-27
1025361,61334,115936,847704,2020-04-28
1051799,63839,120720,866791,2020-04-29
1081019,66135,153947,860328,2020-04-30
1115945,68004,164015,883288,2020-05-01
1143295,69702,175382,897636,2020-05-02
1167592,70842,180152,916204,2020-05-03
1191677,72192,187180,931828,2020-05-04
1216208,74462,189791,951402,2020-05-05
1240767,76801,189910,973444,2020-05-06
1268179,78724,195036,993764,2020-05-07
1295017,80470,198993,1014864,2020-05-08
1320153,81988,212534,1024981,2020-05-09
1339020,82926,216169,1039402,2020-05-10
1358291,83944,232733,1041023,2020-05-11
1381238,85563,230287,1064708,2020-05-12
1401646,87298,243430,1070212,2020-05-13
1428464,89095,246414,1092360,2020-05-14
1453211,90753,250747,1111057,2020-05-15
1477370,92000,268376,1116317,2020-05-16
1495733,92789,272265,1130147,2020-05-17
1518123,93992,283178,1140292,2020-05-18
1539130,95468,289392,1153516,2020-05-19
1561827,96978,294312,1169815,2020-05-20
1587593,98173,298418,1190189,2020-05-21
1611249,99408,350135,1160817,2020-05-22
1632361,100563,361239,1169810,2020-05-23
1652428,101178,366736,1183885,2020-05-24
1671100,101751,379157,1189671,2020-05-25
1690750,102420,384902,1202769,2020-05-26
1709299,103910,391508,1213057,2020-05-27
1731621,105065,399991,1225616,2020-05-28
1756093,106208,406446,1242453,2020-05-29
1779726,107165,416461,1255167,2020-05-30
1798713,107865,444758,1245250,2020-05-31
1816148,108658,458231,1248433,2020-06-01
1837651,109660,463868,1263130,2020-06-02
1857495,110672,479258,1266448,2020-06-03
1879144,111691,485002,1281233,2020-06-04
1904544,112574,491706,1299116,2020-06-05
1925704,113251,500849,1310543,2020-06-06
1943620,113700,506367,1322476,2020-06-07
1961257,114214,518522,1327330,2020-06-08
1979639,115129,524855,1338255,2020-06-09
2000749,116022,533504,1349724,2020-06-10
2023881,116866,540292,1365154,2020-06-11
2048746,117686,547386,1381980,2020-06-12
2073954,118452,556606,1397112,2020-06-13
2092902,118777,561816,1410681,2020-06-14
2112721,119168,576334,1415412,2020-06-15
2136391,119990,583503,1430779,2020-06-16
2163449,120721,592191,1447967,2020-06-17
2191971,121415,599115,1468285,2020-06-18
2223531,122066,606715,1491220,2020-06-19
2255800,122660,617460,1512052,2020-06-20
2280946,122968,622133,1532353,2020-06-21
2313093,123361,640198,1545287,2020-06-22
2350156,124121,647548,1573240,2020-06-23
2386014,124880,656161,1598739,2020-06-24
2426329,125425,663562,1630610,2020-06-25
2472311,126059,670809,1668237,2020-06-26
2513651,126558,679308,1700453,2020-06-27
2554376,126858,685164,1734748,2020-06-28
2595655,127254,705203,1754966,2020-06-29
2642081,127879,720631,1784942,2020-06-30
2693890,128579,729994,1826301,2020-07-01
2750517,129308,781970,1829887,2020-07-02
2801874,129960,790404,1871911,2020-07-03
2847553,130255,894325,1813482,2020-07-04
2898322,130567,906763,1851758,2020-07-05
2941394,130942,924148,1876908,2020-07-06
3002036,132131,936476,1923977,2020-07-07
3062146,132981,953462,1966434,2020-07-08
3124633,133997,969111,2012614,2020-07-09
3192672,134809,983185,2065629,2020-07-10
3252687,135524,995576,2113386,2020-07-11
3311137,136001,1006326,2160901,2020-07-12
3370026,136437,1031939,2193367,2020-07-13
3438038,137357,1049098,2243460,2020-07-14
3506145,138323,1075882,2283815,2020-07-15
3581954,139285,1090645,2343905,2020-07-16
3654203,140205,1107204,2398227,2020-07-17
3716740,141067,1122720,2444521,2020-07-18
3777211,141547,1131121,2496369,2020-07-19
3839293,142102,1160087,2528871,2020-07-20
3903780,143213,1182018,2570658,2020-07-21
3974341,144427,1210849,2611386,2020-07-22
4042769,145515,1233269,2656717,2020-07-23
4116070,146629,1261624,2700666,2020-07-24
4180969,147510,1279414,2746960,2020-07-25
4235816,148034,1297863,2783099,2020-07-26
4292554,149168,1325804,2810445,2020-07-27
4359003,150516,1355363,2845835,2020-07-28
4430816,151951,1389425,2882163,2020-07-29
4498234,153170,1414155,2923784,2020-07-30
4566931,154422,1438160,2967170,2020-07-31
4623105,155517,1461885,2998714,2020-08-01
