Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
4,0,0,4,2020-03-13
6,0,0,6,2020-03-14
8,0,0,8,2020-03-15
29,0,0,29,2020-03-16
50,0,0,50,2020-03-17
79,0,0,79,2020-03-18
94,0,0,94,2020-03-19
110,0,0,110,2020-03-20
135,0,0,135,2020-03-21
158,0,0,158,2020-03-22
162,0,0,162,2020-03-23
189,0,0,189,2020-03-24
217,0,0,217,2020-03-25
238,0,0,238,2020-03-26
274,0,0,274,2020-03-27
303,1,0,302,2020-03-28
309,1,0,308,2020-03-29
320,1,0,319,2020-03-30
338,1,41,296,2020-03-31
350,2,62,286,2020-04-01
369,4,68,297,2020-04-02
386,4,86,296,2020-04-03
400,5,93,302,2020-04-04
406,6,104,296,2020-04-05
415,6,123,286,2020-04-06
424,7,150,267,2020-04-07
456,7,192,257,2020-04-08
473,7,206,260,2020-04-09
494,7,214,273,2020-04-10
501,7,224,270,2020-04-11
480,7,231,242,2020-04-12
483,8,248,227,2020-04-13
492,8,260,224,2020-04-14
493,9,272,212,2020-04-15
502,9,286,207,2020-04-16
508,9,294,205,2020-04-17
517,9,298,210,2020-04-18
528,10,298,220,2020-04-19
535,10,313,212,2020-04-20
543,12,324,207,2020-04-21
549,12,337,200,2020-04-22
557,12,354,191,2020-04-23
563,12,369,182,2020-04-24
596,14,370,212,2020-04-25
606,15,375,216,2020-04-26
620,15,386,219,2020-04-27
625,15,394,216,2020-04-28
630,15,412,203,2020-04-29
643,17,417,209,2020-04-30
648,17,435,196,2020-05-01
652,17,440,195,2020-05-02
655,17,442,196,2020-05-03
657,17,447,193,2020-05-04
670,17,468,185,2020-05-05
673,17,486,170,2020-05-06
684,17,492,175,2020-05-07
694,18,506,170,2020-05-08
702,18,513,171,2020-05-09
707,19,517,171,2020-05-10
711,19,523,169,2020-05-11
717,19,532,166,2020-05-12
719,19,545,155,2020-05-13
724,19,547,158,2020-05-14
732,19,553,160,2020-05-15
733,19,558,156,2020-05-16
734,20,564,150,2020-05-17
737,20,569,148,2020-05-18
738,20,579,139,2020-05-19
746,20,588,138,2020-05-20
749,20,594,135,2020-05-21
753,20,603,130,2020-05-22
764,22,616,126,2020-05-23
769,22,618,129,2020-05-24
787,22,629,136,2020-05-25
789,22,638,129,2020-05-26
803,22,650,131,2020-05-27
811,22,654,135,2020-05-28
816,22,680,114,2020-05-29
821,22,682,117,2020-05-30
823,22,685,116,2020-05-31
825,23,689,113,2020-06-01
826,23,691,112,2020-06-02
828,23,698,107,2020-06-03
832,23,709,100,2020-06-04
834,23,721,90,2020-06-05
845,23,726,96,2020-06-06
845,23,730,92,2020-06-07
845,23,738,84,2020-06-08
846,23,754,69,2020-06-09
847,23,758,66,2020-06-10
847,23,772,52,2020-06-11
