Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
0,0,0,0,2020-03-16
0,0,0,0,2020-03-17
2,0,0,2,2020-03-18
2,0,0,2,2020-03-19
2,0,0,2,2020-03-20
2,0,0,2,2020-03-21
3,0,0,3,2020-03-22
3,0,0,3,2020-03-23
3,0,0,3,2020-03-24
12,0,0,12,2020-03-25
16,0,0,16,2020-03-26
22,0,0,22,2020-03-27
28,0,0,28,2020-03-28
29,0,0,29,2020-03-29
35,0,0,35,2020-03-30
35,0,0,35,2020-03-31
36,0,0,36,2020-04-01
39,1,0,38,2020-04-02
39,1,2,36,2020-04-03
39,1,2,36,2020-04-04
39,1,3,35,2020-04-05
39,1,5,33,2020-04-06
39,1,7,31,2020-04-07
39,1,7,31,2020-04-08
39,1,24,14,2020-04-09
40,2,25,13,2020-04-10
40,2,28,10,2020-04-11
43,2,30,11,2020-04-12
45,2,30,13,2020-04-13
45,2,30,13,2020-04-14
48,2,30,16,2020-04-15
48,2,30,16,2020-04-16
52,2,30,20,2020-04-17
57,2,33,22,2020-04-18
61,3,33,25,2020-04-19
65,3,35,27,2020-04-20
70,3,35,32,2020-04-21
74,3,35,36,2020-04-22
76,3,37,36,2020-04-23
84,3,37,44,2020-04-24
84,3,37,44,2020-04-25
88,3,42,43,2020-04-26
88,3,42,43,2020-04-27
95,3,42,50,2020-04-28
97,3,54,40,2020-04-29
106,3,55,48,2020-04-30
109,3,74,32,2020-05-01
119,3,75,41,2020-05-02
124,3,78,43,2020-05-03
137,3,78,56,2020-05-04
138,3,92,43,2020-05-05
146,4,101,41,2020-05-06
153,4,103,46,2020-05-07
167,4,111,52,2020-05-08
252,7,112,133,2020-05-09
267,7,117,143,2020-05-10
267,7,117,143,2020-05-11
441,7,117,317,2020-05-12
446,7,124,315,2020-05-13
654,7,124,523,2020-05-14
654,7,124,523,2020-05-15
679,7,183,489,2020-05-16
753,7,188,558,2020-05-17
761,7,192,562,2020-05-18
772,7,192,573,2020-05-19
832,7,197,628,2020-05-20
866,7,302,557,2020-05-21
920,7,336,577,2020-05-22
920,7,336,577,2020-05-23
920,7,336,577,2020-05-24
920,7,336,577,2020-05-25
920,7,336,577,2020-05-26
1057,7,779,271,2020-05-27
1057,7,779,271,2020-05-28
1057,7,779,271,2020-05-29
1057,7,779,271,2020-05-30
1057,7,779,271,2020-05-31
1089,7,912,170,2020-06-01
1089,7,912,170,2020-06-02
1089,7,912,170,2020-06-03
1089,7,912,170,2020-06-04
1089,7,912,170,2020-06-05
1089,7,912,170,2020-06-06
1089,7,912,170,2020-06-07
1200,10,912,278,2020-06-08
1200,10,912,278,2020-06-09
1200,10,912,278,2020-06-10
