Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
0,0,0,0,2020-03-16
0,0,0,0,2020-03-17
0,0,0,0,2020-03-18
0,0,0,0,2020-03-19
1,0,0,1,2020-03-20
3,0,0,3,2020-03-21
3,0,0,3,2020-03-22
3,1,0,2,2020-03-23
3,1,0,2,2020-03-24
3,1,0,2,2020-03-25
3,1,0,2,2020-03-26
5,1,0,4,2020-03-27
7,1,0,6,2020-03-28
7,1,0,6,2020-03-29
7,1,0,6,2020-03-30
8,1,0,7,2020-03-31
8,1,0,7,2020-04-01
9,1,0,8,2020-04-02
9,1,0,8,2020-04-03
9,1,0,8,2020-04-04
9,1,0,8,2020-04-05
10,1,0,9,2020-04-06
11,2,0,9,2020-04-07
11,3,0,8,2020-04-08
11,3,0,8,2020-04-09
13,3,0,10,2020-04-10
14,3,0,11,2020-04-11
14,3,0,11,2020-04-12
17,3,0,14,2020-04-13
17,3,0,14,2020-04-14
23,3,1,19,2020-04-15
23,3,1,19,2020-04-16
24,3,2,19,2020-04-17
25,3,2,20,2020-04-18
25,3,2,20,2020-04-19
25,3,2,20,2020-04-20
28,3,2,23,2020-04-21
28,4,2,22,2020-04-22
28,4,2,22,2020-04-23
29,4,2,23,2020-04-24
31,4,2,25,2020-04-25
31,4,2,25,2020-04-26
32,4,5,23,2020-04-27
32,4,5,23,2020-04-28
32,4,5,23,2020-04-29
40,4,5,31,2020-04-30
40,4,5,31,2020-05-01
34,4,5,25,2020-05-02
34,4,5,25,2020-05-03
34,4,5,25,2020-05-04
34,4,5,25,2020-05-05
34,4,5,25,2020-05-06
34,4,5,25,2020-05-07
34,4,9,21,2020-05-08
35,4,9,22,2020-05-09
36,4,9,23,2020-05-10
36,4,9,23,2020-05-11
36,4,9,23,2020-05-12
37,4,12,21,2020-05-13
37,4,13,20,2020-05-14
42,4,13,25,2020-05-15
42,4,13,25,2020-05-16
44,4,17,23,2020-05-17
46,4,18,24,2020-05-18
46,4,18,24,2020-05-19
48,4,18,26,2020-05-20
51,4,18,29,2020-05-21
51,4,18,29,2020-05-22
56,4,18,34,2020-05-23
56,4,25,27,2020-05-24
56,4,25,27,2020-05-25
56,4,25,27,2020-05-26
132,4,25,103,2020-05-27
149,4,28,117,2020-05-28
149,4,28,117,2020-05-29
174,4,29,141,2020-05-30
178,4,29,145,2020-05-31
203,4,29,170,2020-06-01
206,4,29,173,2020-06-02
222,4,29,189,2020-06-03
237,4,31,202,2020-06-04
265,4,33,228,2020-06-05
279,4,33,242,2020-06-06
282,4,34,244,2020-06-07
287,4,46,237,2020-06-08
314,4,46,264,2020-06-09
320,4,49,267,2020-06-10
332,4,51,277,2020-06-11
