Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
1,0,0,1,2020-02-04
1,0,0,1,2020-02-05
1,0,0,1,2020-02-06
1,0,0,1,2020-02-07
1,0,0,1,2020-02-08
1,0,0,1,2020-02-09
1,0,0,1,2020-02-10
1,0,0,1,2020-02-11
1,0,0,1,2020-02-12
1,0,0,1,2020-02-13
1,0,0,1,2020-02-14
1,0,0,1,2020-02-15
1,0,0,1,2020-02-16
1,0,1,0,2020-02-17
1,0,1,0,2020-02-18
1,0,1,0,2020-02-19
1,0,1,0,2020-02-20
1,0,1,0,2020-02-21
1,0,1,0,2020-02-22
1,0,1,0,2020-02-23
1,0,1,0,2020-02-24
1,0,1,0,2020-02-25
1,0,1,0,2020-02-26
1,0,1,0,2020-02-27
1,0,1,0,2020-02-28
1,0,1,0,2020-02-29
2,0,1,1,2020-03-01
8,0,1,7,2020-03-02
13,0,1,12,2020-03-03
23,0,1,22,2020-03-04
50,0,1,49,2020-03-05
109,0,1,108,2020-03-06
169,0,1,168,2020-03-07
200,0,1,199,2020-03-08
239,0,1,238,2020-03-09
267,0,1,266,2020-03-10
314,3,1,310,2020-03-11
314,3,1,310,2020-03-12
559,3,1,555,2020-03-13
689,4,1,684,2020-03-14
886,4,1,881,2020-03-15
1058,5,1,1052,2020-03-16
1243,10,1,1232,2020-03-17
1486,14,31,1441,2020-03-18
1795,21,31,1743,2020-03-19
2257,37,1,2219,2020-03-20
2815,67,263,2485,2020-03-21
3401,75,263,3063,2020-03-22
3743,88,263,3392,2020-03-23
4269,122,461,3686,2020-03-24
4937,178,547,4212,2020-03-25
6235,220,675,5340,2020-03-26
7284,289,858,6137,2020-03-27
9134,353,1063,7718,2020-03-28
10836,431,1359,9046,2020-03-29
11899,513,1527,9859,2020-03-30
12775,705,1696,10374,2020-03-31
13964,828,2132,11004,2020-04-01
15348,1011,2495,11842,2020-04-02
16770,1143,2872,12755,2020-04-03
18431,1283,3247,13901,2020-04-04
19691,1447,3751,14493,2020-04-05
20814,1632,3986,15196,2020-04-06
22194,2035,4157,16002,2020-04-07
23403,2240,4681,16482,2020-04-08
24983,2523,5164,17296,2020-04-09
26667,3019,5568,18080,2020-04-10
28018,3346,5986,18686,2020-04-11
29647,3600,6463,19584,2020-04-12
30589,3903,6707,19979,2020-04-13
31119,4157,6868,20094,2020-04-14
33573,4440,7107,22026,2020-04-15
34809,4857,7562,22390,2020-04-16
36138,5163,7961,23014,2020-04-17
37183,5453,8348,23382,2020-04-18
38496,5683,8757,24056,2020-04-19
39983,5828,8895,25260,2020-04-20
40956,5998,9002,25956,2020-04-21
41889,6262,9433,26194,2020-04-22
42797,6490,9800,26507,2020-04-23
44293,6679,10122,27492,2020-04-24
45325,6917,10417,27991,2020-04-25
46134,7094,10785,28255,2020-04-26
46687,7207,10878,28602,2020-04-27
47334,7331,10943,29060,2020-04-28
47859,7501,11283,29075,2020-04-29
48519,7594,11576,29349,2020-04-30
49032,7703,11892,29437,2020-05-01
49517,7765,12211,29541,2020-05-02
49906,7844,12309,29753,2020-05-03
50267,7924,12378,29965,2020-05-04
50509,8016,12441,30052,2020-05-05
50781,8339,12731,29711,2020-05-06
51420,8415,12980,30025,2020-05-07
52011,8521,13201,30289,2020-05-08
52596,8581,13411,30604,2020-05-09
53081,8656,13642,30783,2020-05-10
53449,8707,13697,31045,2020-05-11
53779,8761,13732,31286,2020-05-12
53981,8843,13937,31201,2020-05-13
54288,8903,14111,31274,2020-05-14
54644,8959,14301,31384,2020-05-15
54989,9005,14460,31524,2020-05-16
55280,9052,14630,31598,2020-05-17
55559,9080,14657,31822,2020-05-18
55791,9108,14687,31996,2020-05-19
55983,9150,14847,31986,2020-05-20
56235,9186,14988,32061,2020-05-21
56511,9212,15123,32176,2020-05-22
56810,9237,15155,32418,2020-05-23
57092,9280,15272,32540,2020-05-24
57342,9312,15297,32733,2020-05-25
