Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
1,0,0,1,2020-02-29
1,0,0,1,2020-03-01
1,0,0,1,2020-03-02
2,0,0,2,2020-03-03
6,0,0,6,2020-03-04
6,0,0,6,2020-03-05
18,0,0,18,2020-03-06
18,0,0,18,2020-03-07
19,0,0,19,2020-03-08
21,0,0,21,2020-03-09
34,0,0,34,2020-03-10
43,1,0,42,2020-03-11
43,1,0,42,2020-03-12
90,1,0,89,2020-03-13
129,2,0,127,2020-03-14
129,2,0,127,2020-03-15
169,2,0,167,2020-03-16
223,2,5,216,2020-03-17
292,2,5,285,2020-03-18
557,3,5,549,2020-03-19
683,3,5,675,2020-03-20
785,3,5,777,2020-03-21
906,4,5,897,2020-03-22
1125,6,5,1114,2020-03-23
1329,7,5,1317,2020-03-24
1564,9,5,1550,2020-03-25
1819,19,5,1795,2020-03-26
2121,22,5,2094,2020-03-27
2415,36,5,2374,2020-03-28
2615,46,5,2564,2020-03-29
2910,54,5,2851,2020-03-30
3235,71,5,3159,2020-03-31
3447,85,5,3357,2020-04-01
3849,98,5,3746,2020-04-02
4273,120,5,4148,2020-04-03
4604,137,25,4442,2020-04-04
4994,158,25,4811,2020-04-05
5364,174,25,5165,2020-04-06
5709,210,25,5474,2020-04-07
6074,235,25,5814,2020-04-08
6574,263,25,6286,2020-04-09
8089,287,25,7777,2020-04-10
8928,320,25,8583,2020-04-11
9655,334,25,9296,2020-04-12
10647,365,25,10257,2020-04-13
11479,406,25,11048,2020-04-14
12547,444,77,12026,2020-04-15
13271,486,77,12708,2020-04-16
13980,530,77,13373,2020-04-17
14758,571,77,14110,2020-04-18
15251,610,77,14564,2020-04-19
15652,687,77,14888,2020-04-20
16040,730,9233,6077,2020-04-21
16671,769,9233,6669,2020-04-22
17607,794,9233,7580,2020-04-23
18184,1014,9233,7937,2020-04-24
18561,1063,9233,8265,2020-04-25
19262,1087,9233,8942,2020-04-26
19648,1102,9233,9313,2020-04-27
19877,1159,9233,9485,2020-04-28
20253,1190,13386,5677,2020-04-29
20612,1232,13386,5994,2020-04-30
20833,1265,13386,6182,2020-05-01
21176,1286,13386,6504,2020-05-02
21506,1303,13386,6817,2020-05-03
21772,1319,13386,7067,2020-05-04
21983,1339,13386,7258,2020-05-05
22248,1375,17110,3763,2020-05-06
22385,1403,17110,3872,2020-05-07
22541,1429,17110,4002,2020-05-08
22760,1446,17110,4204,2020-05-09
22996,1458,17110,4428,2020-05-10
23135,1467,17110,4558,2020-05-11
23242,1488,17110,4644,2020-05-12
23401,1497,19470,2434,2020-05-13
23827,1506,19470,2851,2020-05-14
23956,1518,19470,2968,2020-05-15
24048,1533,19470,3045,2020-05-16
24112,1543,19470,3099,2020-05-17
24200,1547,19470,3183,2020-05-18
24251,1561,19470,3220,2020-05-19
24315,1571,21060,1684,2020-05-20
24391,1583,21060,1748,2020-05-21
24506,1592,21060,1854,2020-05-22
24582,1604,21060,1918,2020-05-23
24639,1608,21060,1971,2020-05-24
24698,1606,21060,2032,2020-05-25
24735,1615,21060,2060,2020-05-26
24803,1631,22089,1083,2020-05-27
24841,1639,22089,1113,2020-05-28
