Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
1,0,0,1,2020-02-25
1,0,0,1,2020-02-26
8,0,0,8,2020-02-27
8,0,0,8,2020-02-28
18,0,0,18,2020-02-29
27,0,0,27,2020-03-01
42,0,0,42,2020-03-02
56,0,2,54,2020-03-03
90,0,3,87,2020-03-04
114,1,3,110,2020-03-05
214,1,3,210,2020-03-06
268,1,3,264,2020-03-07
337,2,3,332,2020-03-08
374,2,3,369,2020-03-09
491,3,3,485,2020-03-10
652,4,4,644,2020-03-11
652,4,4,644,2020-03-12
1139,11,4,1124,2020-03-13
1359,13,4,1342,2020-03-14
2200,14,4,2182,2020-03-15
2200,14,4,2182,2020-03-16
2700,27,4,2669,2020-03-17
3028,28,15,2985,2020-03-18
4075,41,15,4019,2020-03-19
5294,54,15,5225,2020-03-20
6575,75,15,6485,2020-03-21
7474,98,131,7245,2020-03-22
8795,120,131,8544,2020-03-23
9877,122,131,9624,2020-03-24
10897,153,131,10613,2020-03-25
11811,191,131,11489,2020-03-26
12928,231,1530,11167,2020-03-27
14076,264,1530,12282,2020-03-28
14829,300,1595,12934,2020-03-29
15922,359,1823,13740,2020-03-30
16605,433,1823,14349,2020-03-31
17768,488,2967,14313,2020-04-01
18827,536,4013,14278,2020-04-02
19606,591,4846,14169,2020-04-03
20505,666,6415,13424,2020-04-04
21100,715,6415,13970,2020-04-05
21657,765,8056,12836,2020-04-06
22253,821,8704,12728,2020-04-07
23280,895,9800,12585,2020-04-08
24051,948,10600,12503,2020-04-09
24551,1002,11100,12449,2020-04-10
25107,1036,12100,11971,2020-04-11
25415,1106,12700,11609,2020-04-12
25688,1138,13700,10850,2020-04-13
25936,1174,13700,11062,2020-04-14
26336,1239,15400,9697,2020-04-15
26732,1281,15900,9551,2020-04-16
27078,1327,16400,9351,2020-04-17
27404,1368,17100,8936,2020-04-18
27740,1393,17800,8547,2020-04-19
27944,1429,18600,7915,2020-04-20
28063,1478,19400,7185,2020-04-21
28268,1509,19900,6859,2020-04-22
28496,1549,20600,6347,2020-04-23
28677,1589,21000,6088,2020-04-24
28894,1599,21300,5995,2020-04-25
29061,1610,21800,5651,2020-04-26
29164,1665,22200,5299,2020-04-27
29264,1699,22600,4965,2020-04-28
29407,1716,22600,5091,2020-04-29
29586,1737,23400,4449,2020-04-30
29705,1754,23900,4051,2020-05-01
29817,1762,24200,3855,2020-05-02
29905,1762,24500,3643,2020-05-03
29981,1784,25200,2997,2020-05-04
30009,1795,25400,2814,2020-05-05
30060,1805,25700,2555,2020-05-06
30126,1810,25900,2416,2020-05-07
30207,1823,26100,2284,2020-05-08
30251,1830,26400,2021,2020-05-09
30305,1833,26600,1872,2020-05-10
30344,1845,26800,1699,2020-05-11
30380,1867,26800,1713,2020-05-12
30413,1870,27100,1443,2020-05-13
30463,1872,27100,1491,2020-05-14
30514,1878,27100,1536,2020-05-15
30572,1879,27400,1293,2020-05-16
30587,1881,27500,1206,2020-05-17
30597,1886,27600,1111,2020-05-18
30618,1891,27700,1027,2020-05-19
30658,1892,27800,966,2020-05-20
30694,1898,27900,896,2020-05-21
30707,1903,27900,904,2020-05-22
30725,1905,28000,820,2020-05-23
30736,1906,28100,730,2020-05-24
30746,1913,28200,633,2020-05-25
