Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
2,0,0,2,2020-01-31
2,0,0,2,2020-02-01
2,0,0,2,2020-02-02
8,0,0,8,2020-02-03
8,0,0,8,2020-02-04
9,0,0,9,2020-02-05
9,0,0,9,2020-02-06
9,0,0,9,2020-02-07
13,0,0,13,2020-02-08
14,0,0,14,2020-02-09
14,0,0,14,2020-02-10
15,0,0,15,2020-02-11
16,0,1,15,2020-02-12
17,0,1,16,2020-02-13
18,0,1,17,2020-02-14
18,0,1,17,2020-02-15
18,0,8,10,2020-02-16
19,0,8,11,2020-02-17
19,0,8,11,2020-02-18
20,0,8,12,2020-02-19
22,0,8,14,2020-02-20
23,0,8,15,2020-02-21
23,0,8,15,2020-02-22
28,0,8,20,2020-02-23
30,0,8,22,2020-02-24
34,0,8,26,2020-02-25
37,0,8,29,2020-02-26
44,0,8,36,2020-02-27
56,0,8,48,2020-02-28
61,0,8,53,2020-02-29
94,0,8,86,2020-03-01
134,0,8,126,2020-03-02
189,0,8,181,2020-03-03
246,0,8,238,2020-03-04
295,0,8,287,2020-03-05
374,1,8,365,2020-03-06
429,2,18,409,2020-03-07
483,2,18,463,2020-03-08
630,3,18,609,2020-03-09
889,7,19,863,2020-03-10
1301,7,19,1275,2020-03-11
1790,9,19,1762,2020-03-12
2270,10,19,2241,2020-03-13
2634,29,19,2586,2020-03-14
3077,43,19,3015,2020-03-15
3692,66,21,3605,2020-03-16
4462,83,53,4326,2020-03-17
5467,117,67,5283,2020-03-18
6533,163,67,6303,2020-03-19
7791,195,67,7529,2020-03-20
9006,253,67,8686,2020-03-21
10395,289,67,10039,2020-03-22
12744,365,67,12312,2020-03-23
15126,513,140,14473,2020-03-24
17843,704,140,16999,2020-03-25
20970,886,150,19934,2020-03-26
24219,1174,151,22894,2020-03-27
27062,1466,151,25445,2020-03-28
29954,1679,151,28124,2020-03-29
34281,2053,171,32057,2020-03-30
38815,2457,179,36179,2020-03-31
43789,3130,179,40480,2020-04-01
48718,3787,192,44739,2020-04-02
53699,4524,208,48967,2020-04-03
57772,5281,215,52276,2020-04-04
61422,5882,229,55311,2020-04-05
66738,6452,287,59999,2020-04-06
72224,7557,325,64342,2020-04-07
77387,8589,345,68453,2020-04-08
82293,9706,359,72228,2020-04-09
86660,10829,588,75243,2020-04-10
90273,11673,622,77978,2020-04-11
93812,12330,626,80856,2020-04-12
98017,13055,304,84658,2020-04-13
102365,14135,323,87907,2020-04-14
107465,15019,368,92078,2020-04-15
112808,16059,375,96374,2020-04-16
117798,16973,394,100431,2020-04-17
122534,18081,414,104039,2020-04-18
126394,18514,436,107444,2020-04-19
131260,19090,446,111724,2020-04-20
136035,20314,638,115083,2020-04-21
141540,21171,683,119686,2020-04-22
146708,21855,712,124141,2020-04-23
151689,22873,724,128092,2020-04-24
155453,23689,774,130990,2020-04-25
158926,24053,778,134095,2020-04-26
163630,24376,807,138447,2020-04-27
168357,25347,813,142197,2020-04-28
173807,26118,857,146832,2020-04-29
178771,26754,859,151158,2020-04-30
183501,27454,892,155155,2020-05-01
186731,28039,896,157796,2020-05-02
189708,28292,901,160515,2020-05-03
193091,28565,910,163616,2020-05-04
196780,29290,926,166564,2020-05-05
200616,29937,934,169745,2020-05-06
204387,30395,970,173022,2020-05-07
207439,30975,997,175467,2020-05-08
209589,31250,1001,177338,2020-05-09
211911,31467,1002,179442,2020-05-10
215500,31655,1015,182830,2020-05-11
218895,32270,1023,185602,2020-05-12
222195,32718,1032,188445,2020-05-13
224813,33071,1043,190699,2020-05-14
227334,33422,1047,192865,2020-05-15
229406,33833,1058,194515,2020-05-16
231232,33900,1058,196274,2020-05-17
233809,34046,1090,198673,2020-05-18
236867,34547,1099,201221,2020-05-19
239579,34876,1116,203587,2020-05-20
242133,35149,1134,205850,2020-05-21
244174,35440,1142,207592,2020-05-22
245682,35660,1149,208873,2020-05-23
247037,36039,1151,209847,2020-05-24
248650,36143,1161,211346,2020-05-25
250309,36274,1161,212874,2020-05-26
